file,page,title,subject_text,subject_type,relation,object_text,object_type,effect_size,avg_confidence,textBlock,affiliation,author,coreference,country,loc,org,per
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,2,16th ERPB technical session on digital euro – presentation,ERPB,intervention,applies_to,Merchants,population,,0.99751,"8 Payment Service Providers 3 Core theme sessions on Competition, Synergies and Business Model; 3 Outcome Sessions1 ERPB Fit in the Ecosystem Technical Sessions Merchants 1 Core theme session2 on Competition, Synergies and Business Model 1 Consumers 1 Core theme session2 on Digital financial inclusion, Privacy fraud prevention and resilience, and Competition 2-day in-person workshop was organized to discuss the key takeaways from the workstream 1.",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,2,16th ERPB technical session on digital euro – presentation,ERPB,intervention,applies_to,Consumers,population,,0.992703,"8 Payment Service Providers 3 Core theme sessions on Competition, Synergies and Business Model; 3 Outcome Sessions1 ERPB Fit in the Ecosystem Technical Sessions Merchants 1 Core theme session2 on Competition, Synergies and Business Model 1 Consumers 1 Core theme session2 on Digital financial inclusion, Privacy fraud prevention and resilience, and Competition 2-day in-person workshop was organized to discuss the key takeaways from the workstream 1.",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,2,16th ERPB technical session on digital euro – presentation,Digital financial inclusion,intervention,applies_to,Merchants,population,,0.988602,"8 Payment Service Providers 3 Core theme sessions on Competition, Synergies and Business Model; 3 Outcome Sessions1 ERPB Fit in the Ecosystem Technical Sessions Merchants 1 Core theme session2 on Competition, Synergies and Business Model 1 Consumers 1 Core theme session2 on Digital financial inclusion, Privacy fraud prevention and resilience, and Competition 2-day in-person workshop was organized to discuss the key takeaways from the workstream 1.",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,2,16th ERPB technical session on digital euro – presentation,Digital financial inclusion,intervention,applies_to,Consumers,population,,0.983794,"8 Payment Service Providers 3 Core theme sessions on Competition, Synergies and Business Model; 3 Outcome Sessions1 ERPB Fit in the Ecosystem Technical Sessions Merchants 1 Core theme session2 on Competition, Synergies and Business Model 1 Consumers 1 Core theme session2 on Digital financial inclusion, Privacy fraud prevention and resilience, and Competition 2-day in-person workshop was organized to discuss the key takeaways from the workstream 1.",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,5,16th ERPB technical session on digital euro – presentation,digital euro,intervention,impacts,negotiation position vis,outcome,,0.964692,"ECB-UNRESTRICTED Competition – version shared • There is -on a conceptual level- broad understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries could give intermediaries and merchants a better negotiation position vis-à-vis International Card Schemes, especially for those markets where no domestic or regional card scheme is present of where they for now have limited penetration. •",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,5,16th ERPB technical session on digital euro – presentation,mandatory acceptance,intervention,impacts,negotiation position vis,outcome,,0.942972,"ECB-UNRESTRICTED Competition – version shared • There is -on a conceptual level- broad understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries could give intermediaries and merchants a better negotiation position vis-à-vis International Card Schemes, especially for those markets where no domestic or regional card scheme is present of where they for now have limited penetration. •",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,5,16th ERPB technical session on digital euro – presentation,digital euro,intervention,applies_to,intermediaries,population,,0.999423,"ECB-UNRESTRICTED Competition – version shared • There is -on a conceptual level- broad understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries could give intermediaries and merchants a better negotiation position vis-à-vis International Card Schemes, especially for those markets where no domestic or regional card scheme is present of where they for now have limited penetration. •",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,5,16th ERPB technical session on digital euro – presentation,digital euro,intervention,applies_to,merchants,population,,0.999363,"ECB-UNRESTRICTED Competition – version shared • There is -on a conceptual level- broad understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries could give intermediaries and merchants a better negotiation position vis-à-vis International Card Schemes, especially for those markets where no domestic or regional card scheme is present of where they for now have limited penetration. •",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,5,16th ERPB technical session on digital euro – presentation,mandatory acceptance,intervention,applies_to,intermediaries,population,,0.977703,"ECB-UNRESTRICTED Competition – version shared • There is -on a conceptual level- broad understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries could give intermediaries and merchants a better negotiation position vis-à-vis International Card Schemes, especially for those markets where no domestic or regional card scheme is present of where they for now have limited penetration. •",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,5,16th ERPB technical session on digital euro – presentation,mandatory acceptance,intervention,applies_to,merchants,population,,0.977643,"ECB-UNRESTRICTED Competition – version shared • There is -on a conceptual level- broad understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries could give intermediaries and merchants a better negotiation position vis-à-vis International Card Schemes, especially for those markets where no domestic or regional card scheme is present of where they for now have limited penetration. •",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,5,16th ERPB technical session on digital euro – presentation,negotiation position vis,outcome,experienced_by,intermediaries,population,,0.964631,"ECB-UNRESTRICTED Competition – version shared • There is -on a conceptual level- broad understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries could give intermediaries and merchants a better negotiation position vis-à-vis International Card Schemes, especially for those markets where no domestic or regional card scheme is present of where they for now have limited penetration. •",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,5,16th ERPB technical session on digital euro – presentation,negotiation position vis,outcome,experienced_by,merchants,population,,0.964571,"ECB-UNRESTRICTED Competition – version shared • There is -on a conceptual level- broad understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries could give intermediaries and merchants a better negotiation position vis-à-vis International Card Schemes, especially for those markets where no domestic or regional card scheme is present of where they for now have limited penetration. •",,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,6,16th ERPB technical session on digital euro – presentation,digital euro,intervention,impacts,negotiation position,outcome,,0.980239,Competition – proposed version after feedback ECB-UNRESTRICTED Note: Only key changes will be highlighted here and in the following • There is - on a conceptual level - broad an understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries may make intermediaries and merchants better off: This could be the case if benefits of a potentially better negotiation position vis-à-vis International Card Schemes (indirect channel) and the benefits of the compensation model (direct channel) would outweigh the downsides of potentially lower ICS volumes.,,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,6,16th ERPB technical session on digital euro – presentation,mandatory acceptance,intervention,impacts,negotiation position,outcome,,0.972064,Competition – proposed version after feedback ECB-UNRESTRICTED Note: Only key changes will be highlighted here and in the following • There is - on a conceptual level - broad an understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries may make intermediaries and merchants better off: This could be the case if benefits of a potentially better negotiation position vis-à-vis International Card Schemes (indirect channel) and the benefits of the compensation model (direct channel) would outweigh the downsides of potentially lower ICS volumes.,,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,6,16th ERPB technical session on digital euro – presentation,scheme-fees,intervention,impacts,negotiation position,outcome,,0.951413,Competition – proposed version after feedback ECB-UNRESTRICTED Note: Only key changes will be highlighted here and in the following • There is - on a conceptual level - broad an understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries may make intermediaries and merchants better off: This could be the case if benefits of a potentially better negotiation position vis-à-vis International Card Schemes (indirect channel) and the benefits of the compensation model (direct channel) would outweigh the downsides of potentially lower ICS volumes.,,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,6,16th ERPB technical session on digital euro – presentation,digital euro,intervention,applies_to,intermediaries,population,,0.987527,Competition – proposed version after feedback ECB-UNRESTRICTED Note: Only key changes will be highlighted here and in the following • There is - on a conceptual level - broad an understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries may make intermediaries and merchants better off: This could be the case if benefits of a potentially better negotiation position vis-à-vis International Card Schemes (indirect channel) and the benefits of the compensation model (direct channel) would outweigh the downsides of potentially lower ICS volumes.,,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,6,16th ERPB technical session on digital euro – presentation,digital euro,intervention,applies_to,merchants,population,,0.998003,Competition – proposed version after feedback ECB-UNRESTRICTED Note: Only key changes will be highlighted here and in the following • There is - on a conceptual level - broad an understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries may make intermediaries and merchants better off: This could be the case if benefits of a potentially better negotiation position vis-à-vis International Card Schemes (indirect channel) and the benefits of the compensation model (direct channel) would outweigh the downsides of potentially lower ICS volumes.,,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,6,16th ERPB technical session on digital euro – presentation,mandatory acceptance,intervention,applies_to,intermediaries,population,,0.979353,Competition – proposed version after feedback ECB-UNRESTRICTED Note: Only key changes will be highlighted here and in the following • There is - on a conceptual level - broad an understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries may make intermediaries and merchants better off: This could be the case if benefits of a potentially better negotiation position vis-à-vis International Card Schemes (indirect channel) and the benefits of the compensation model (direct channel) would outweigh the downsides of potentially lower ICS volumes.,,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,6,16th ERPB technical session on digital euro – presentation,mandatory acceptance,intervention,applies_to,merchants,population,,0.989829,Competition – proposed version after feedback ECB-UNRESTRICTED Note: Only key changes will be highlighted here and in the following • There is - on a conceptual level - broad an understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries may make intermediaries and merchants better off: This could be the case if benefits of a potentially better negotiation position vis-à-vis International Card Schemes (indirect channel) and the benefits of the compensation model (direct channel) would outweigh the downsides of potentially lower ICS volumes.,,,,,,,
ecb.deprep250820_erpb_16thtechnicalsession_presentation.en.pdf,6,16th ERPB technical session on digital euro – presentation,scheme-fees,intervention,applies_to,intermediaries,population,,0.958701,Competition – proposed version after feedback ECB-UNRESTRICTED Note: Only key changes will be highlighted here and in the following • There is - on a conceptual level - broad an understanding that a digital euro with mandatory acceptance and without scheme-fees for intermediaries may make intermediaries and merchants better off: This could be the case if benefits of a potentially better negotiation position vis-à-vis International Card Schemes (indirect channel) and the benefits of the compensation model (direct channel) would outweigh the downsides of potentially lower ICS volumes.,,,,,,,
